Site,Can,Beers,Elv,Mst,P. glutinosis 1,P. glutinosis 2,P. glutinosis 3,P. glutinosis 4,P. kentucki 1,P. kentucki 2,P. kentucki 3,P. kentucki 4,P. richmondi 1,P. richmondi 2,P. richmondi 3,P. richmondi 4,#CWD I,#CWD II,#CWD III,#CWD IV,#Rock I,#Rock II,#Rock III,#Rock IV,LL depth I,LL depth II,LL depth III,LL depth IV,Lux I,Lux II,Lux III,Lux IV,Julian Day I,Julian Day II,Julian Day III,Julian Day IV,Time I,Time II,Time III,Time IV,TPI,NDVI,Dir_sol,cos_aspect,sin_aspect
1,19.3505875,1.74,343.24,13,0,0,0,0,1,0,1,0,1,0,1,1,5,0,4,4,16,6,13,11,2.71,1.02,2.92,3.4,161,162,192,630,289,304,309,317,1600,1453,1445,1005,9.07,119.66,616413.94,-0.863,0.505
2,17.0070208,1.59,368.56,11,1,0,0,0,1,0,0,0,0,0,0,0,5,9,4,4,1,2,0,0,3.18,4.57,3.2,4.05,173,1456,195,155,289,304,309,317,1630,1440,1510,1030,20.32,124.27,695644.56,-0.993,-0.122
3,19.3425917,1.91,378.47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,10,4,1.91,3.68,6.1,2.9,181,1403,196,30,289,304,309,317,1645,1427,1525,1102,15.5,131.05,691643.81,-0.992,0.125
4,18.2706542,1.78,392.79,7,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,2,0,0,0,5.87,6.1,7.3,6.4,171,1500,190,640,289,304,309,317,1700,1412,1535,1130,23.47,125.57,682251.75,0.863,-0.506
5,16.1260000,1.43,422.31,12,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,6,3,3,5,0,2.22,5.27,3.37,7.6,180,168,305,198,289,304,309,317,1725,1348,1553,1155,20.8,130.38,821983.94,0.81,0.587
6,16.0148625,1.75,433.14,8,1,0,0,0,1,1,0,0,1,0,1,0,7,4,2,6,3,1,5,0,4.6,7.37,9.53,3.67,165,170,191,70,289,304,309,317,1750,1318,1610,1237,22.45,132.84,767605.88,0.303,0.953
12,17.3117125,1.96,345.05,21,0,0,0,0,0,0,0,1,1,0,1,0,3,6,3,6,9,5,8,16,4.06,6.73,6.86,7.5,178,182,1010,72,290,303,311,317,900,950,930,1252,-0.45,130.04,592604.44,-0.47,-0.883
13,21.0009042,1.98,336.61,24,0,0,0,0,0,1,1,0,1,1,1,1,5,4,4,6,4,1,12,7,3.59,4.57,5.01,5.65,183,185,295,60,290,303,311,317,930,921,900,1315,-3.34,129.83,682254.88,0.381,-0.925
14,17.3117125,1.99,361.91,25,1,0,0,0,1,1,0,0,0,0,1,0,9,3,4,0,3,2,2,3,3.16,7.87,6.1,7,184,163,175,70,289,303,311,317,1815,1008,952,1345,4.98,132.75,623537.5,0.997,-0.082
15,9.9721625,1.68,364.56,23,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,2,3,4,1,1,4.5,2.92,5.97,5.95,150,180,174,64,289,303,311,317,1835,1036,1011,1404,10.63,127.2,602608,-0.562,-0.827
